Phase,Epic ID,Epic,Story ID,Story,Task ID,Task Type,Task Title,Endpoint/Table,Audit Mapping,Priority,Dependencies,Acceptance Criteria
1,P1-E2,Synchronized Media and Join Flows,P1-E2-S2,Join activity entry points,P1-E2-S2-T3,Schema,Materialize active session counts per channel,mv_channel_activity_session_counts,Join flow parity gap,Medium,P1-E1-S1-T1,View supports participant count surfaces efficiently
1,P1-E3,Activity Catalog Completion,P1-E3-S1,Real activity integrations,P1-E3-S1-T1,API,List activity catalog,GET /api/v1/activities/catalog,Activity integration parity gap,High,None,Returns enabled validated activities with capability metadata
1,P1-E3,Activity Catalog Completion,P1-E3-S1,Real activity integrations,P1-E3-S1-T2,API,Validate activity integration,POST /api/v1/activities/catalog/{id}/validate,Activity integration parity gap,High,P1-E3-S1-T1,Validation marks integration readiness and errors
1,P1-E3,Activity Catalog Completion,P1-E3-S1,Real activity integrations,P1-E3-S1-T3,Schema,Store activities catalog metadata,activities_catalog,Activity integration parity gap,High,None,Catalog table supports provider and mobile capability flags
1,P1-E3,Activity Catalog Completion,P1-E3-S2,Third-party provider pipeline,P1-E3-S2-T1,API,Register activity provider,POST /api/v1/activities/providers/register,Provider ecosystem gap,Medium,None,Provider registration persists metadata and status
1,P1-E3,Activity Catalog Completion,P1-E3-S2,Third-party provider pipeline,P1-E3-S2-T2,API,Publish provider integration,POST /api/v1/activities/providers/{id}/publish,Provider ecosystem gap,Medium,P1-E3-S2-T1,Publish flow enforces review/approval state
1,P1-E3,Activity Catalog Completion,P1-E3-S2,Third-party provider pipeline,P1-E3-S2-T3,Schema,Add provider pipeline tables,activity_providers activity_provider_secrets activity_review_queue,Provider ecosystem gap,Medium,None,Provider lifecycle and secret storage are modeled
2,P2-E1,2FA and Trusted Devices,P2-E1-S1,TOTP enrollment and challenge,P2-E1-S1-T1,API,Enroll MFA factor,POST /api/v1/auth/mfa/enroll,Account security parity gap,Critical,None,Enrollment returns secret provisioning details safely
2,P2-E1,2FA and Trusted Devices,P2-E1-S1,TOTP enrollment and challenge,P2-E1-S1-T2,API,Verify MFA challenge,POST /api/v1/auth/mfa/verify,Account security parity gap,Critical,P2-E1-S1-T1,Verification issues authenticated session with MFA claim
2,P2-E1,2FA and Trusted Devices,P2-E1-S1,TOTP enrollment and challenge,P2-E1-S1-T3,API,Disable MFA factor,POST /api/v1/auth/mfa/disable,Account security parity gap,High,P2-E1-S1-T2,Disable flow requires step-up verification
2,P2-E1,2FA and Trusted Devices,P2-E1-S1,TOTP enrollment and challenge,P2-E1-S1-T4,Schema,Add MFA tables,mfa_factors mfa_recovery_codes,Account security parity gap,Critical,None,MFA factors and backup codes are securely stored
2,P2-E1,2FA and Trusted Devices,P2-E1-S2,Trusted devices and suspicious login,P2-E1-S2-T1,API,List trusted devices,GET /api/v1/auth/devices,Account security parity gap,High,None,Returns device list with location and last used metadata
2,P2-E1,2FA and Trusted Devices,P2-E1-S2,Trusted devices and suspicious login,P2-E1-S2-T2,API,Revoke trusted device,DELETE /api/v1/auth/devices/{id},Account security parity gap,High,P2-E1-S2-T1,Device revocation invalidates associated remember token
2,P2-E1,2FA and Trusted Devices,P2-E1-S2,Trusted devices and suspicious login,P2-E1-S2-T3,API,List login events,GET /api/v1/auth/login-events,Account security parity gap,High,None,Returns recent login history and risk indicators
2,P2-E1,2FA and Trusted Devices,P2-E1-S2,Trusted devices and suspicious login,P2-E1-S2-T4,Schema,Add device and security telemetry tables,trusted_devices login_events security_alerts,Account security parity gap,High,None,Risk scoring and alert tracking persist correctly
2,P2-E2,GDPR Export and Deletion,P2-E2-S1,Async account export,P2-E2-S1-T1,API,Request account export,POST /api/v1/privacy/export,Privacy compliance parity gap,Critical,None,Export job is created and queued asynchronously
2,P2-E2,GDPR Export and Deletion,P2-E2-S1,Async account export,P2-E2-S1-T2,API,Get export job status,GET /api/v1/privacy/export/{jobId},Privacy compliance parity gap,Critical,P2-E2-S1-T1,Status endpoint returns progress and artifact readiness
2,P2-E2,GDPR Export and Deletion,P2-E2-S1,Async account export,P2-E2-S1-T3,Schema,Add export job tables,data_export_jobs data_export_artifacts,Privacy compliance parity gap,Critical,None,Export artifacts tracked with retention metadata
2,P2-E2,GDPR Export and Deletion,P2-E2-S2,Irreversible account deletion,P2-E2-S2-T1,API,Request account deletion,POST /api/v1/privacy/delete-account,Privacy compliance parity gap,Critical,None,Deletion request creates auditable asynchronous job
2,P2-E2,GDPR Export and Deletion,P2-E2-S2,Irreversible account deletion,P2-E2-S2-T2,API,Get deletion job status,GET /api/v1/privacy/delete-account/{jobId},Privacy compliance parity gap,Critical,P2-E2-S2-T1,Status endpoint surfaces retention and completion state
2,P2-E2,GDPR Export and Deletion,P2-E2-S2,Irreversible account deletion,P2-E2-S2-T3,Schema,Add deletion workflow tables,account_deletion_jobs deletion_audit_log,Privacy compliance parity gap,Critical,None,Deletion trail is immutable and queryable
3,P3-E1,Reaction Roles and Screening,P3-E1-S1,Reaction role automation,P3-E1-S1-T1,API,Create reaction role mapping,POST /api/v1/servers/{id}/reaction-roles,Moderation automation parity gap,High,None,Mapping is validated and persisted
3,P3-E1,Reaction Roles and Screening,P3-E1-S1,Reaction role automation,P3-E1-S1-T2,API,Delete reaction role mapping,DELETE /api/v1/servers/{id}/reaction-roles/{mappingId},Moderation automation parity gap,High,P3-E1-S1-T1,Delete removes mapping and stops automation
3,P3-E1,Reaction Roles and Screening,P3-E1-S1,Reaction role automation,P3-E1-S1-T3,Schema,Add reaction roles table,reaction_roles,Moderation automation parity gap,High,None,Schema supports message emoji role mapping lookups
3,P3-E1,Reaction Roles and Screening,P3-E1-S2,Member screening enforcement,P3-E1-S2-T1,API,Get server screening config,GET /api/v1/servers/{id}/screening,Screening parity gap,High,None,Endpoint returns rules and acceptance requirement
3,P3-E1,Reaction Roles and Screening,P3-E1-S2,Member screening enforcement,P3-E1-S2-T2,API,Accept screening rules,POST /api/v1/servers/{id}/screening/accept,Screening parity gap,High,P3-E1-S2-T1,Acceptance unlocks access and is auditable
3,P3-E1,Reaction Roles and Screening,P3-E1-S2,Member screening enforcement,P3-E1-S2-T3,Schema,Add screening status tables,member_screening_status screening_rules,Screening parity gap,High,None,Membership gating states are persisted
3,P3-E2,Moderation Operations Completeness,P3-E2-S1,Backend purge and bulk delete,P3-E2-S1-T1,API,Purge channel messages endpoint,POST /api/v1/channels/{id}/messages/purge,Moderation control parity gap,High,None,Purge runs as tracked backend job with guardrails
3,P3-E2,Moderation Operations Completeness,P3-E2-S1,Backend purge and bulk delete,P3-E2-S1-T2,Schema,Add purge job metadata,purge_jobs,Moderation control parity gap,High,None,Purge actions and outcomes are retained for audit
3,P3-E2,Moderation Operations Completeness,P3-E2-S2,Timeout kick ban consistency,P3-E2-S2-T1,API,Timeout member endpoint,POST /api/v1/servers/{id}/members/{userId}/timeout,Moderation control parity gap,High,None,Timeout accepts duration and reason consistently
3,P3-E2,Moderation Operations Completeness,P3-E2-S2,Timeout kick ban consistency,P3-E2-S2-T2,API,Ban member endpoint with optional duration,POST /api/v1/servers/{id}/members/{userId}/ban,Moderation control parity gap,High,None,Ban supports temporary and permanent modes
3,P3-E2,Moderation Operations Completeness,P3-E2-S2,Timeout kick ban consistency,P3-E2-S2-T3,Schema,Extend ban lifecycle fields,bans.expires_at bans.revoked_at,Moderation control parity gap,High,None,Ban records model expiration and revocation
4,P4-E1,Stage and Voice Admin Controls,P4-E1-S1,Stage queue and raise hand,P4-E1-S1-T1,API,Raise hand endpoint,POST /api/v1/stage/{channelId}/raise-hand,Voice admin parity gap,Medium,None,Raise hand state is tracked with ordering
4,P4-E1,Stage and Voice Admin Controls,P4-E1-S1,Stage queue and raise hand,P4-E1-S1-T2,API,Promote speaker endpoint,POST /api/v1/stage/{channelId}/speaker/{userId},Voice admin parity gap,Medium,P4-E1-S1-T1,Speaker promotion updates stage state consistently
4,P4-E1,Stage and Voice Admin Controls,P4-E1-S1,Stage queue and raise hand,P4-E1-S1-T3,Schema,Add stage tables,stage_speaker_queue stage_sessions,Voice admin parity gap,Medium,None,Stage queue and session lifecycle are persisted
4,P4-E1,Stage and Voice Admin Controls,P4-E1-S2,Move users and enforce limits,P4-E1-S2-T1,API,Move user between voice channels,POST /api/v1/voice/channels/{id}/move-user,Voice admin parity gap,Medium,None,Move action validates permissions and logs action
4,P4-E1,Stage and Voice Admin Controls,P4-E1-S2,Move users and enforce limits,P4-E1-S2-T2,API,Patch voice channel limits,PATCH /api/v1/voice/channels/{id},Voice admin parity gap,Medium,None,User limit updates enforce allowed bounds
4,P4-E1,Stage and Voice Admin Controls,P4-E1-S2,Move users and enforce limits,P4-E1-S2-T3,Schema,Add voice admin schema updates,channels.user_limit voice_admin_actions,Voice admin parity gap,Medium,None,Voice admin actions are auditable
4,P4-E2,Advanced Audio Features,P4-E2-S1,Spatial audio support,P4-E2-S1-T1,Schema,Add user spatial audio settings,voice_spatial_settings,Spatial audio parity gap,Low,None,Per-user positional settings persist and validate ranges
5,P5-E1,Nitro Premium Productization,P5-E1-S1,Subscription gifting,P5-E1-S1-T1,API,Create premium gift,POST /api/v1/premium/gifts,Premium monetization parity gap,Medium,None,Gift purchase generates redeemable code and transaction
5,P5-E1,Nitro Premium Productization,P5-E1-S1,Subscription gifting,P5-E1-S1-T2,API,Redeem premium gift,POST /api/v1/premium/redeem,Premium monetization parity gap,Medium,P5-E1-S1-T1,Redeem grants entitlement exactly once
5,P5-E1,Nitro Premium Productization,P5-E1-S1,Subscription gifting,P5-E1-S1-T3,Schema,Add gifting tables,gift_transactions gift_redemptions,Premium monetization parity gap,Medium,None,Gift lifecycle and anti-fraud checks are supported
5,P5-E1,Nitro Premium Productization,P5-E1-S2,Monthly boost credits,P5-E1-S2-T1,API,List boost credits,GET /api/v1/premium/boost-credits,Premium monetization parity gap,Medium,None,Endpoint returns available and used boost credits
5,P5-E1,Nitro Premium Productization,P5-E1-S2,Monthly boost credits,P5-E1-S2-T2,API,Apply boost credit,POST /api/v1/premium/boost-credits/apply,Premium monetization parity gap,Medium,P5-E1-S2-T1,Applying credit updates target server and inventory
5,P5-E1,Nitro Premium Productization,P5-E1-S2,Monthly boost credits,P5-E1-S2-T3,Schema,Add boost credits table,boost_credits,Premium monetization parity gap,Medium,None,Credits track issuance expiration and consumption
5,P5-E1,Nitro Premium Productization,P5-E1-S3,Nitro cosmetics inventory,P5-E1-S3-T1,API,List premium cosmetics,GET /api/v1/premium/cosmetics,Premium monetization parity gap,Medium,None,Catalog returns owned and purchasable cosmetics
5,P5-E1,Nitro Premium Productization,P5-E1-S3,Nitro cosmetics inventory,P5-E1-S3-T2,API,Apply profile cosmetic,POST /api/v1/profile/cosmetics/apply,Premium monetization parity gap,Medium,P5-E1-S3-T1,Applying cosmetic persists and reflects on profile
5,P5-E1,Nitro Premium Productization,P5-E1-S3,Nitro cosmetics inventory,P5-E1-S3-T3,Schema,Add cosmetics tables,cosmetic_catalog user_cosmetics,Premium monetization parity gap,Medium,None,Catalog ownership and equip state are modeled
6,P6-E1,Bot OAuth2 Install and Permissions,P6-E1-S1,OAuth2 install flow,P6-E1-S1-T1,API,Authorize app install,GET /api/v1/apps/{id}/oauth/authorize,App ecosystem parity gap,High,None,OAuth request validates app and scope set
6,P6-E1,Bot OAuth2 Install and Permissions,P6-E1-S1,OAuth2 install flow,P6-E1-S1-T2,API,OAuth install callback,POST /api/v1/apps/{id}/install/callback,App ecosystem parity gap,High,P6-E1-S1-T1,Callback persists installation and grants scope
6,P6-E1,Bot OAuth2 Install and Permissions,P6-E1-S1,OAuth2 install flow,P6-E1-S1-T3,Schema,Add app installation tables,applications application_installs application_scopes,App ecosystem parity gap,High,None,App lifecycle and scopes are persisted
6,P6-E1,Bot OAuth2 Install and Permissions,P6-E1-S2,Permission scoping and revocation,P6-E1-S2-T1,API,Patch app install permissions,PATCH /api/v1/apps/{id}/installs/{installId}/permissions,App ecosystem parity gap,High,P6-E1-S1-T3,Permission changes are constrained and auditable
6,P6-E1,Bot OAuth2 Install and Permissions,P6-E1-S2,Permission scoping and revocation,P6-E1-S2-T2,Schema,Add app permission table,application_permissions,App ecosystem parity gap,High,None,Permission grants are normalized and queryable
6,P6-E2,Interaction Components Parity,P6-E2-S1,Interaction components and modals,P6-E2-S1-T1,API,Handle interaction components,POST /api/v1/interactions/components,Interaction feature parity gap,Medium,None,Select/context/file component payloads are accepted
6,P6-E2,Interaction Components Parity,P6-E2-S1,Interaction components and modals,P6-E2-S1-T2,API,Handle interaction modals,POST /api/v1/interactions/modals,Interaction feature parity gap,Medium,None,Modal submissions are validated and routed
6,P6-E2,Interaction Components Parity,P6-E2-S1,Interaction components and modals,P6-E2-S1-T3,Schema,Extend interactions schema,interactions component payload metadata,Interaction feature parity gap,Medium,None,Schema supports component-specific payload metadata
6,P6-E3,App Directory,P6-E3-S1,Searchable app marketplace,P6-E3-S1-T1,API,List app directory,GET /api/v1/app-directory,App discoverability gap,Medium,None,Directory supports search filtering and trust metadata
6,P6-E3,App Directory,P6-E3-S1,Searchable app marketplace,P6-E3-S1-T2,Schema,Add app directory tables,app_directory_entries app_reviews,App discoverability gap,Medium,None,Directory and reviews support moderation workflows
7,P7-E1,Client Surface Parity,P7-E1-S1,Web surface parity,P7-E1-S1-T1,Implementation,Deliver production web parity surface,Reuse existing APIs,Platform surface parity gap,Medium,None,Core messaging voice social workflows are production-ready
7,P7-E1,Client Surface Parity,P7-E1-S2,Desktop shell notifications and shortcuts,P7-E1-S2-T1,Schema/API,Add desktop sound preference fields,notification preferences desktop sound packs,Platform surface parity gap,Low,None,Desktop-specific notification prefs are persisted
7,P7-E2,UX Parity Enhancements,P7-E2-S1,Shortcut map and power-user nav,P7-E2-S1-T1,Implementation,Deliver comprehensive keyboard shortcut workflows,Client UX,Workflow ergonomics gap,Low,None,Shortcut map is complete and consistent
8,P8-E1,Discovery Quality,P8-E1-S1,Trending and taxonomy ranking,P8-E1-S1-T1,API,Get trending discovery feed,GET /api/v1/servers/discover/trending,Discovery parity gap,Medium,None,Endpoint returns ranked discoverable servers with reasons
8,P8-E1,Discovery Quality,P8-E1-S1,Trending and taxonomy ranking,P8-E1-S1-T2,Schema,Add discovery ranking tables,server_discovery_scores server_categories server_tags,Discovery parity gap,Medium,None,Scores and taxonomy support ranking queries
8,P8-E1,Discovery Quality,P8-E1-S2,Forum upvotes and ranking,P8-E1-S2-T1,API,Vote on forum post,POST /api/v1/forum/posts/{id}/vote,Forum ranking gap,Medium,None,Vote endpoint prevents duplicate voting abuse
8,P8-E1,Discovery Quality,P8-E1-S2,Forum upvotes and ranking,P8-E1-S2-T2,Schema,Add forum votes table,forum_post_votes,Forum ranking gap,Medium,None,Voting data supports time-window ranking
8,P8-E2,Admin Insights,P8-E2-S1,Server insights dashboards,P8-E2-S1-T1,API,Get server insights,GET /api/v1/servers/{id}/insights,Admin analytics parity gap,Medium,None,Insights endpoint returns growth engagement retention metrics
8,P8-E2,Admin Insights,P8-E2-S1,Server insights dashboards,P8-E2-S1-T2,Schema,Add daily metric rollups,server_daily_metrics,Admin analytics parity gap,Medium,None,Rollups populate and serve dashboard latency goals
X,X1,Cross-Phase Technical Tickets,X1-S1,Contract compatibility testing,X1-S1-T1,Testing,Add WS and REST contract tests,All services,Platform reliability cross-phase,High,None,Contract suite validates payload compatibility across versions
X,X2,Cross-Phase Technical Tickets,X2-S1,Security review gates,X2-S1-T1,Security,Add security review gates,Auth Activities Bot installs,Security hardening cross-phase,High,None,Changes fail CI without required security checks
X,X3,Cross-Phase Technical Tickets,X3-S1,Performance budgets,X3-S1-T1,Performance,Define and enforce performance budgets,High fan-out channels and activity sessions,Performance resilience cross-phase,High,None,SLO budgets are measurable and enforced
X,X4,Cross-Phase Technical Tickets,X4-S1,Migration safety,X4-S1-T1,Data,Implement migration safety pack,Idempotent SQL rollback docs,Data safety cross-phase,High,None,Every migration has rollback and idempotency validation
X,X5,Cross-Phase Technical Tickets,X5-S1,Observability pack,X5-S1-T1,Observability,Add metrics tracing and SLOs per epic,All phases,Operational excellence cross-phase,High,None,Dashboards and alerts exist for each epic deliverable
